logon_frequency_daily,logoff_frequency_daily,failed_logon_ratio,after_hours_activity_ratio,weekend_activity_ratio,remote_logon_count,resource_access_count,file_copy_to_usb_bytes,email_sent_count,email_attachment_size,email_external_recipient_ratio,web_uncategorized_visits,web_download_bytes,privilege_escalation_attempts,unusual_machine_access_pattern,off_baseline_app_usage,sentiment_negative_score,concurrent_logon_count,geo_velocity_anomaly_score,Label,Attack_Type
0.4926,0.518,2.1477,0.4922,0.9539,0.4355,1.4714,219.4606,1.6692,0.8356,1.386,0.6093,19485.5563,1.1202,5.2002,4.4425,6.0847,1.5486,1.0181,1,InsiderThreat_Sabotage
0.2137,0.6347,0.0635,0.2175,1.3441,1.7749,1.2965,6.1708,1.0645,2.3705,0.8409,1.0297,9998.8269,0.0763,0.1291,1.2255,1.3455,1.0,0.8788,0,Benign
1.4003,0.956,0.0199,0.5408,0.5519,1.1674,0.7105,1211.6637,1.1882,0.029,0.8757,1.3834,54844.6017,0.1326,0.6264,0.7389,0.7466,1.0,0.3274,0,Benign
1.0594,0.7835,0.0946,1.9527,1.5962,0.6493,0.4355,42.5625,1.0824,0.9202,0.6837,2.1896,2039.5077,0.0492,0.8201,0.611,0.4566,1.0,0.4509,0,Benign
1.1881,0.5255,0.1796,1.1993,0.6912,1.2948,1.1763,60.4363,1.917,0.4416,0.7892,0.9481,2250.7933,0.1303,1.046,1.5506,0.4651,1.0,0.0149,0,Benign
1.1131,0.4181,0.115,1.2738,0.8821,1.1601,1.4291,556.7907,1.5311,0.2814,0.576,1.4895,5427.6533,0.0405,1.5234,1.0819,1.1275,1.0,1.7459,0,Benign
0.9548,1.0065,0.69,0.9664,0.9508,1.8133,0.4851,344.1376,2.2781,1.494,0.3265,1.1893,74665.2995,0.7111,10.9873,8.9917,1.2467,0.1583,11.1001,1,ZeroDay_AccountTakeover
0.6679,1.1619,0.1513,1.073,1.3258,0.4591,1.57,18.3072,1.454,1.7621,1.3363,1.5601,5784.0554,0.071,2.1228,1.0526,1.1645,1.0,0.8298,0,Benign
1.7227,1.3914,0.1566,1.4099,0.8756,0.3783,0.9504,108.1331,1.014,0.6313,0.6716,0.0662,14893.9542,0.1041,1.4148,0.685,0.6821,1.0,0.8131,0,Benign
1.0977,1.8096,0.0295,1.4977,1.1137,1.2365,1.2251,182.4067,1.0999,0.5908,0.9342,1.3106,33029.8074,0.0048,0.4434,1.5343,1.2405,1.0,0.9617,0,Benign
0.6397,1.7247,1.0282,1.2633,1.1166,0.3176,16.4432,67.2279,1.1162,1.8742,1.4412,0.2835,7029.9638,3.3591,1.1495,8.1006,1.104,1.9018,0.8573,1,PrivilegeAbuse
1.5681,0.6622,1.7153,1.3465,0.2905,13.5012,0.8047,30.3512,1.4039,0.6492,1.316,2.6096,34697.0427,0.9316,1.1221,0.1935,1.3862,3.7899,6.714,1,CompromisedAccount_StolenCreds
0.7099,0.7683,0.105,1.006,1.5671,0.7561,0.7781,18.2818,1.3715,0.6569,0.5763,1.0609,20845.8301,0.0901,1.0677,1.5075,0.3213,1.0,0.2178,0,Benign
0.0066,1.3535,0.9099,1.189,0.4713,13.5204,1.1249,237.8777,0.4576,0.5676,0.2257,1.093,22757997.3443,0.7334,0.9915,0.5422,1.248,5.5707,10.2608,1,CompromisedAccount_StolenCreds
0.1536,1.0076,0.1415,0.6722,0.6313,0.7712,0.6099,70.2671,0.7919,1.0343,1.5313,0.1991,6855.6015,0.1743,0.2393,1.552,1.8437,1.0,0.9768,0,Benign
1.0156,0.9365,0.0899,1.3506,1.0581,1.3925,1.2106,254.8539,0.1788,1.4019,1.8528,1.4171,3447.2299,0.0773,0.393,0.5911,0.8886,1.0,1.9288,0,Benign
0.8107,1.078,0.037,1.4104,0.6639,1.0864,0.7703,1632.7471,0.5198,0.9126,1.5227,0.9686,21155.9502,0.0873,0.5713,0.9112,0.7225,1.0,1.4061,0,Benign
1.5308,0.9571,1.1148,0.9651,0.9618,1.4726,0.5246,325.8944,0.8685,0.1556,1.069,1.2921,106188.3526,5.6427,1.891,6.4687,1.4014,1.0395,1.0684,1,PrivilegeAbuse
1.7098,0.8587,0.179,1.2272,1.7659,0.1404,1.905,4182.3864,1.3077,1.6966,1.2156,0.6056,118123.2116,0.1307,0.2947,1.2006,0.7407,1.0,1.0961,0,Benign
0.7946,1.8962,0.096,1.404,0.457,1.1389,0.656,3547.8107,1.4239,0.1207,0.8355,0.63,3760.0187,0.1315,1.5781,1.5692,0.5861,1.0,1.1014,0,Benign
1.7614,1.3288,0.1287,1.0915,1.0208,0.0169,1.4434,25.5058,0.5986,1.9878,0.4757,0.6933,7339.2056,0.1252,1.1586,1.2875,1.2379,1.0,0.9015,0,Benign
0.711,0.5963,0.161,0.6386,1.0703,1.1293,0.9139,1053.9098,0.6871,0.3968,1.2794,0.8227,30484.3492,0.0791,0.8531,0.7887,1.0402,1.0,0.5648,0,Benign
1.6334,0.8824,0.1672,0.39,1.5853,0.9925,0.7631,137.2942,1.2074,1.4048,0.9966,0.9121,370148.0684,0.1557,0.7769,0.2588,0.9869,1.0,1.2371,0,Benign
0.6735,0.3424,0.0981,0.5001,0.9274,1.2089,0.2188,117.7257,0.9949,0.209,0.7044,1.0418,808.5106,0.1335,0.7306,1.5395,1.5108,1.0,0.2979,0,Benign
1.5109,1.2319,0.7099,1.9417,0.2036,0.5416,0.7601,4855796.721,0.394,33.5221,1.804,0.4165,53688.2014,1.3905,0.9777,0.6677,2.2151,1.2382,0.7728,1,InsiderThreat_IPTheft
1.5553,0.781,0.1797,1.5811,1.156,1.137,1.0278,15.2465,0.8619,0.3907,1.8081,0.9795,2126.8933,0.1215,0.6961,1.3772,0.8101,1.0,1.3076,0,Benign
0.8441,1.8183,0.0922,1.0081,1.7808,1.7036,1.0743,26.4218,1.7469,0.8754,1.2563,1.2531,55122.1967,0.0386,1.2043,1.1446,1.0446,1.0,1.0157,0,Benign
0.9207,1.0883,1.3655,1.5674,1.5963,1.3329,0.7095,235.6473,0.0852,0.277,0.5965,0.9418,409833.3538,1.0804,11.2179,6.77,0.995,0.5145,14.4895,1,ZeroDay_AccountTakeover
0.7233,1.1065,1.4295,0.8003,2.0731,1.3454,11.0764,29.3909,1.6742,0.7992,0.6694,1.2068,5433.6602,3.5715,1.3148,8.92,1.075,0.4029,1.3736,1,PrivilegeAbuse
0.6404,1.2775,0.1514,0.0233,0.6546,1.0342,0.9898,2398.433,1.5362,0.7201,0.5314,0.7766,430955.1947,0.0506,0.0736,1.4981,1.4971,1.0,0.831,0,Benign
1.5854,1.1647,0.1548,0.4331,0.474,0.3921,0.9424,567.4109,1.0046,0.9308,0.7274,2.0327,7333.7618,0.0398,1.0562,0.6025,1.839,1.0,0.8999,0,Benign
1.6938,1.0192,0.1107,0.6851,1.4739,1.1235,1.0189,32.5206,0.603,0.9748,0.5762,0.3489,7300.7944,0.1478,0.3091,0.9768,1.3201,1.0,0.0945,0,Benign
1.1367,0.5592,0.0988,0.9307,1.1514,0.2926,1.0884,4366.4503,1.3909,0.7,1.4443,0.68,161435.3836,0.092,1.0758,1.4201,1.4122,1.0,0.6965,0,Benign
1.5036,0.3873,0.0262,1.4251,0.8118,0.6514,0.9919,421.0308,0.9003,0.0222,1.3817,0.7496,45634.6607,0.0613,1.0515,1.3293,1.3827,1.0,1.028,0,Benign
0.3893,1.2492,0.0657,1.0567,1.071,0.7917,0.1986,13.4298,0.542,1.0107,0.2886,1.089,18644.0223,0.1293,1.4214,0.5165,1.0374,1.0,0.5291,0,Benign
0.7068,0.2798,0.0974,1.9938,0.7807,1.1707,0.3354,3.6504,0.6508,1.2777,0.9432,0.6502,6677.1221,0.0689,0.4774,1.4126,0.1988,1.0,0.8455,0,Benign
0.9063,1.356,1.2773,0.6316,0.807,18.328,0.6216,189.4109,1.1259,0.7529,1.6768,0.7845,224.7993,1.381,0.4923,1.3725,1.043,5.396,7.2722,1,CompromisedAccount_StolenCreds
0.6125,0.3461,0.142,0.7019,0.6064,1.0637,1.2189,544.9924,0.7547,1.3239,0.9618,1.2541,105251.5333,0.1124,0.5987,0.7701,0.1817,1.0,0.4248,0,Benign
0.7453,0.7313,1.0048,1.9784,0.2072,0.4932,0.4005,358.708,1.0032,0.9736,0.5923,0.2117,1835.6127,1.1605,7.6229,4.0275,5.8085,0.9852,0.0665,1,InsiderThreat_Sabotage
1.5028,0.8929,0.0708,1.4388,0.8292,1.2684,1.0161,1237.7075,1.465,0.9601,0.54,1.5243,31315.7484,0.0875,0.8179,0.9819,1.3121,1.0,0.6786,0,Benign
0.4553,1.8855,0.1478,1.182,0.9976,1.4492,1.3559,473.2664,1.5874,1.257,1.1766,1.2872,1442.2301,0.1791,1.0428,0.5027,1.1814,1.0,1.6419,0,Benign
1.0825,0.1776,0.032,1.0102,1.0586,1.7956,0.3932,130.3307,1.5276,1.1414,0.6655,0.9536,171444.67,0.1183,0.7335,1.0065,1.3687,1.0,1.5276,0,Benign
1.2892,0.6801,0.1504,0.9152,0.4193,0.7479,0.9713,1081.9983,0.3705,1.1844,0.0991,1.6017,449987.3517,0.0793,0.5933,0.9212,0.8574,1.0,1.0908,0,Benign
1.6393,1.5607,0.0775,0.2164,1.0637,0.6302,1.6774,69.3606,0.7592,1.3281,0.5308,1.0478,41812.5677,0.1037,0.0913,0.3862,1.1743,1.0,1.4723,0,Benign
0.7626,0.7756,0.8754,0.7271,1.6899,0.3267,6.3518,67.251,0.0554,0.7785,0.2827,0.7842,47289.8171,4.3647,0.4405,4.5188,0.9859,1.7694,1.1211,1,PrivilegeAbuse
0.5983,1.3125,0.0222,0.2769,1.6934,1.0408,0.0555,149.9132,0.8222,1.2577,1.1114,1.2133,68035.5914,0.0849,0.6456,0.6604,0.4487,1.0,1.4417,0,Benign
0.5351,1.7962,0.0539,1.6222,0.6664,1.2365,0.4884,733.3093,1.1154,1.6297,0.9568,1.6513,529942.0878,0.0421,1.2308,1.4826,1.2591,1.0,0.1231,0,Benign
0.804,0.7473,0.516,1.7803,0.9904,19.8468,0.5517,88.2299,0.275,0.0531,1.0872,1.4517,66721.3041,0.5299,0.8679,0.9193,0.8575,5.2341,7.5307,1,CompromisedAccount_StolenCreds
0.4409,1.3344,0.0634,2.1705,1.1231,1.1001,1.7335,45.0231,1.14,1.28,0.9771,1.3235,13933.4861,0.0171,0.37,1.5401,1.0784,1.0,0.4632,0,Benign
0.1123,0.6829,0.0477,0.5159,0.6836,0.8358,0.7625,556.0486,0.5877,1.58,1.4576,1.0467,31856.8663,0.0937,1.5986,1.3313,1.0293,1.0,0.3902,0,Benign
1.497,0.6448,1.5442,0.7424,0.671,1.246,0.1264,616.1338,0.903,1.498,0.9561,0.1797,1255.0789,1.317,9.3637,5.6222,1.2922,1.0288,15.2171,1,ZeroDay_AccountTakeover
1.5854,0.7945,0.1795,1.0928,0.6056,1.7387,0.161,35.6278,0.8174,1.9496,0.8955,1.0018,54841.6033,0.1249,1.2137,0.5991,0.9579,1.0,1.2056,0,Benign
1.0317,0.7446,0.1535,0.5915,1.0051,0.7997,0.5943,453.4448,0.7222,1.0722,1.0567,0.6618,340.752,0.0891,0.4925,0.9259,0.1327,1.0,0.9999,0,Benign
0.5578,0.1488,0.0234,1.3045,0.5134,1.2647,2.0056,9.7811,1.4572,1.2108,0.0807,0.8818,99193.3646,0.1367,1.0574,0.7242,1.2544,1.0,0.7982,0,Benign
1.4728,1.2396,0.159,1.3609,0.6952,0.7644,1.5872,43.1098,0.4387,0.6339,0.7683,0.8132,84631.2366,0.118,1.1537,1.6149,0.9934,1.0,0.8456,0,Benign
0.2192,1.1668,0.1176,0.3884,0.8837,0.8449,0.9862,948.6852,0.7602,1.3462,1.1243,1.9705,131369.564,0.0299,0.1957,1.9307,1.5171,1.0,0.6419,0,Benign
1.6589,1.3827,0.0786,1.0796,0.7104,0.7241,0.8769,468.0374,1.2562,1.2401,1.0047,1.2788,34029.9499,0.128,1.0234,0.7114,0.6434,1.0,0.0845,0,Benign
1.2353,0.9923,0.0523,1.1713,0.9065,0.786,0.5471,610.9067,1.3279,1.1133,0.3628,0.9541,6356.2826,0.0635,2.0309,0.0791,0.9361,1.0,0.9879,0,Benign
0.9955,2.135,0.0615,1.2879,0.2784,0.3979,1.4519,27.173,1.4604,1.5948,1.4841,2.0881,2470.1251,0.1087,1.7324,0.6896,1.006,1.0,0.4093,0,Benign
0.1716,1.2466,0.1779,0.742,1.0456,1.1072,1.3923,176.5831,0.756,1.7167,1.184,1.7774,17464.8512,0.0706,1.2345,1.1665,0.529,1.0,0.7158,0,Benign
0.8112,0.7161,0.0743,0.6323,1.337,0.4991,0.9598,867.5098,0.4738,1.3228,1.0246,0.7736,3500.7245,0.0498,0.8143,1.1219,0.5842,1.0,1.5211,0,Benign
0.8085,0.4503,0.1803,1.4989,0.8291,1.1885,1.7771,94.0328,0.6535,1.331,1.7178,0.5187,3752.6352,0.1287,0.8489,0.7536,1.5665,1.0,1.4977,0,Benign
2.176,1.0593,0.1157,1.1183,1.1913,1.2231,0.3294,83.5356,1.1087,1.2771,0.8234,1.452,6614.9366,0.0321,1.232,0.4113,1.1222,1.0,0.5584,0,Benign
0.9724,1.1479,0.1506,1.3011,0.7624,0.9319,0.6211,1.1542,1.7011,1.4889,1.0709,0.9813,905.5532,0.0657,0.8357,1.0954,1.4769,1.0,0.933,0,Benign
1.9578,1.3405,0.6038,0.9513,0.2914,1.7347,11.4164,5587.7791,1.327,1.2461,0.6852,1.9687,45661.9118,5.1507,0.3012,7.3994,1.1614,1.4031,0.7252,1,PrivilegeAbuse
1.7733,0.8109,1.1836,1.1569,1.5012,1.2106,0.6837,5869.3252,1.3835,27.0187,1.0837,1.8795,18080.9192,1.3997,0.7734,1.4235,0.9003,0.973,0.5803,1,InsiderThreat_IPTheft
1.2913,0.095,0.1293,1.4844,1.084,1.0403,1.2455,534.3512,1.5406,1.3809,0.4616,1.5066,39163.446,0.0752,1.8437,0.2312,1.1386,1.0,0.0155,0,Benign
0.4081,0.8317,0.1418,1.0933,0.7748,0.6276,2.0808,1006.4766,0.4533,0.5677,0.8657,1.3468,7552.5792,0.1051,1.0218,0.9156,0.7194,1.0,0.0807,0,Benign
0.234,1.5286,0.0696,0.9397,0.5267,0.9572,0.902,52.0426,0.3758,0.4885,1.302,0.376,1388.9521,0.0631,1.4594,0.2036,1.0831,1.0,1.4173,0,Benign
0.9808,1.2925,0.9533,0.1914,1.3921,0.443,0.7207,165.2639,1.4824,0.6343,1.6413,0.9585,3410.5041,0.1938,10.7301,6.4522,0.524,1.3597,9.0965,1,ZeroDay_AccountTakeover
1.7659,1.7322,0.0561,1.5485,0.2529,1.3057,0.5587,0.6001,0.5226,1.3917,0.6519,1.7449,7481.0494,0.1277,1.8208,0.9971,1.3571,1.0,0.562,0,Benign
1.0922,0.4876,0.0278,0.8,0.1547,1.2041,0.0029,44.2143,0.7068,0.9052,1.3054,1.283,75422.0682,0.1504,0.734,0.5833,1.1228,1.0,0.919,0,Benign
0.3556,1.183,0.048,0.1844,1.1898,0.5242,0.833,4.9193,0.0616,0.6032,1.708,0.5888,9128.8379,0.0553,0.9158,1.4529,0.5084,1.0,1.2854,0,Benign
1.2075,0.4213,0.0603,2.1869,1.2049,1.4176,1.309,24.7964,0.5721,1.4613,0.4848,0.926,55906.753,0.0819,1.8477,1.6377,0.9829,1.0,2.1008,0,Benign
0.8539,1.3598,0.022,0.5132,0.4389,0.4233,0.3884,352.7254,1.0982,1.8157,0.6688,1.2715,1796.8135,0.2549,0.7039,0.4168,0.6875,1.0,1.1034,0,Benign
1.3419,1.0417,0.0884,0.1724,0.2458,1.533,1.011,38.8337,0.7161,0.9496,1.6427,1.1337,36548.7331,0.0935,1.0425,1.2329,1.0115,1.0,0.4203,0,Benign
1.9077,1.3711,0.1105,1.0778,0.4154,1.5979,0.3914,33.1068,1.1644,1.7676,0.3406,0.8939,6029.9097,0.0975,1.7239,0.9978,0.2247,1.0,1.1172,0,Benign
1.4669,0.6613,0.0994,1.7034,1.0069,1.9108,0.7821,58.6699,1.4896,1.0681,0.1911,1.4983,55045.4396,0.0815,1.0173,0.2674,0.096,1.0,0.6155,0,Benign
0.6618,0.0401,0.0197,1.3062,0.2683,1.0532,0.4369,52.1416,1.445,1.0319,0.6746,1.2074,17538.0386,0.1359,1.3076,0.5205,0.6657,1.0,1.1808,0,Benign
1.3241,1.2089,0.0769,0.8669,1.872,1.4667,0.896,246.5206,1.6953,0.5278,1.13,1.0299,25877.2073,0.1988,0.2799,1.3305,0.8036,1.0,1.2303,0,Benign
2.1932,0.8075,0.0747,1.4019,1.0274,0.7266,0.9137,1223.7303,0.6755,0.4299,0.3519,1.3222,44681.1112,0.2572,0.8756,0.084,0.7628,1.0,1.0782,0,Benign
0.3739,0.6233,0.139,0.596,1.2762,0.275,0.8208,2044.47,1.7225,1.2469,0.1722,0.8142,105937.1466,0.081,0.4686,1.7438,0.2187,1.0,0.2289,0,Benign
0.8025,1.7868,0.8253,0.7285,0.6167,0.5911,1.3388,10.6015,0.6243,0.9067,0.6328,0.8953,1587.5603,1.461,8.5514,9.1146,0.89,0.5063,10.1002,1,ZeroDay_AccountTakeover
0.7318,0.9784,0.1482,0.0205,0.7496,0.9649,1.0707,7362.4192,1.1854,1.8394,0.7298,1.6627,1636.1241,0.2296,0.1924,1.501,0.3374,1.0,1.2587,0,Benign
0.5835,1.4867,0.0421,1.1949,0.9158,0.8174,1.4672,1051.388,1.4618,0.9594,1.5423,1.2377,21521.2358,0.2043,0.9275,0.3219,1.6028,1.0,0.0405,0,Benign
1.0149,1.4541,0.1383,0.1888,0.6948,1.9415,0.6172,1037.3212,0.5723,0.9702,1.0717,0.1605,59206.441,0.1074,1.3838,1.9013,2.2127,1.0,0.8611,0,Benign
0.3796,0.6377,1.6566,1.6326,0.7186,22.1385,1.3601,381.8556,1.912,0.8317,0.814,1.3453,1653.6051,1.5689,0.757,2.5139,1.7643,4.671,8.9646,1,CompromisedAccount_StolenCreds
1.5977,0.7783,0.0776,0.9991,0.3268,0.4024,0.7508,93.7841,1.202,1.1179,1.7049,1.3507,55995.5503,0.0166,0.5046,1.2246,2.1301,1.0,2.0909,0,Benign
1.0083,1.8791,0.9194,1.3546,1.8399,0.9357,1.0755,737.5338,0.645,1.8206,1.4011,0.8467,3710.264,0.2262,6.8382,3.7865,4.5635,0.5535,1.4374,1,InsiderThreat_Sabotage
2.105,1.2633,0.9093,1.4671,1.0396,1.6569,1.05,44.1564,0.9473,0.8901,1.1363,1.0526,1404.9367,2.0227,10.6796,10.2508,1.2061,0.8266,10.9349,1,ZeroDay_AccountTakeover
0.5276,1.2963,0.1068,0.6767,0.9593,1.1993,0.9041,3.5626,1.0247,2.1583,1.1273,1.0094,41240.5487,0.1008,0.5951,1.1052,0.0255,1.0,1.1447,0,Benign
0.5075,1.8672,0.1018,1.0355,1.0081,1.5321,1.0347,10.4382,1.0854,2.5383,0.8465,1.1948,3293434.2253,0.0617,1.2872,0.8295,1.0246,1.0,0.9873,0,Benign
1.5411,1.9554,0.1593,0.9951,1.3414,0.139,0.2137,1696.1448,0.2097,1.4879,1.0895,0.076,33526.9719,0.1189,0.7405,1.6178,0.2854,1.0,1.538,0,Benign
0.838,0.9069,0.0818,0.366,0.081,0.9379,0.0633,5.8601,1.0074,0.7793,1.7592,1.0442,4147.174,0.1537,0.9243,1.7503,1.4378,1.0,0.5787,0,Benign
1.5653,1.3678,0.1085,1.0887,1.2202,1.2207,0.6799,789.1688,1.3086,1.0966,1.2921,0.8068,51562.8157,0.1301,1.2103,0.9359,0.9315,1.0,0.6585,0,Benign
0.8177,1.2472,0.115,0.9345,0.2911,1.7496,1.0428,698.155,0.7775,0.3223,0.6101,1.7036,4826.5491,0.1309,0.2629,0.1402,1.0186,1.0,0.3512,0,Benign
1.0426,0.5075,1.0367,2.0188,1.8344,21.7448,0.2708,1056.2189,1.299,1.0683,2.053,0.9021,283.802,0.699,0.7133,0.7139,1.3009,4.027,8.0389,1,CompromisedAccount_StolenCreds
0.2842,0.7993,0.0646,0.9383,0.8353,0.8908,1.5385,8149.3338,1.1159,0.9406,1.1863,0.9417,66261.7201,0.1734,0.3822,0.2751,0.6178,1.0,0.907,0,Benign
0.6686,0.9127,0.0049,0.9184,0.1324,1.6348,0.2452,183.6767,0.807,0.6001,0.3887,1.3074,105381.5503,0.0032,0.3826,1.7372,1.1066,1.0,1.6758,0,Benign
1.3707,0.8989,0.1358,0.2667,1.378,0.6504,0.6737,14.9949,1.0137,1.7184,1.0583,0.9609,42721.4806,0.1238,0.8194,2.2539,1.3419,1.0,1.1115,0,Benign
0.7429,0.8418,0.0225,0.7594,0.2334,0.4675,1.9102,72.9403,1.0571,1.0992,0.8829,0.2553,48526.4652,0.0451,1.528,1.2403,0.7797,1.0,0.8981,0,Benign
0.5312,1.2352,0.066,0.8858,0.6208,0.9207,0.5377,4.5876,0.8234,0.8022,1.776,0.1611,301145.1885,0.0422,0.9388,1.0606,1.5313,1.0,0.4475,0,Benign
0.518,1.2769,0.0633,0.4907,1.5365,0.7027,0.4097,926.8581,1.2623,0.9353,1.2637,1.1968,768.6587,0.0448,0.3863,0.9052,1.9386,1.0,0.8553,0,Benign
0.4484,1.1218,0.1053,0.8775,0.9531,1.5288,1.3685,139.0539,0.5096,1.7905,0.1068,0.1368,61466.1963,0.111,2.1044,1.3901,1.1737,1.0,0.9915,0,Benign
0.5251,1.5722,0.1947,1.2297,0.8703,0.8169,1.4138,55.5605,1.4467,0.993,0.4532,1.2442,12566.3108,0.1092,0.9231,0.2918,0.243,1.0,0.8724,0,Benign
1.002,0.9516,0.1264,1.5005,1.0119,1.2606,0.159,61.0379,1.0395,1.0178,0.9628,1.4182,3620.806,0.0617,1.1634,1.2672,1.2607,1.0,1.8907,0,Benign
1.2737,0.4712,0.1023,1.3381,0.738,1.0551,0.7652,133.085,1.4599,2.0746,0.3656,0.9383,69234.6085,0.0878,1.5382,0.2395,1.2489,1.0,0.0331,0,Benign
0.8206,0.4877,0.1278,1.2465,1.0433,0.9843,1.0628,4948.7728,0.3415,0.5092,1.3165,1.0779,4367.7081,0.0403,0.4972,1.1578,1.7003,1.0,0.7443,0,Benign
1.6424,1.8928,0.1214,1.5656,1.9541,0.9782,1.0112,87.9652,1.5161,0.7976,0.0675,1.3894,293616.4271,0.0794,0.0826,0.7495,0.5077,1.0,1.4451,0,Benign
0.7286,0.712,0.1514,1.3238,0.418,1.0601,1.8509,15.2605,1.1789,1.3267,1.655,1.6157,2504.0784,0.0807,0.7808,0.7904,0.7374,1.0,0.272,0,Benign
0.6379,1.2811,0.135,1.1162,1.266,0.9074,1.6715,1380.1047,1.555,0.9268,1.3608,1.0119,11029.5459,0.1018,1.7226,1.2816,1.0566,1.0,0.8643,0,Benign
0.3127,0.5716,0.0326,0.9446,1.2323,0.9668,1.4018,4.4051,1.5368,0.7599,0.758,1.9983,41044.178,0.115,0.5884,1.1583,0.3773,1.0,0.0323,0,Benign
0.0767,1.5282,0.9324,2.1531,0.179,0.7944,0.8557,2271.2649,1.169,73.6367,1.4807,1.0843,299736.4398,1.0415,1.1171,0.8665,0.3383,0.3331,1.3043,1,InsiderThreat_IPTheft
0.8506,0.9513,0.1366,0.502,1.3629,1.943,1.3821,100.3881,0.0019,0.3434,0.5011,1.3489,545737.2125,0.1527,1.525,0.7977,0.612,1.0,1.6634,0,Benign
1.0275,0.1342,1.5095,0.4547,1.428,0.5038,4.3992,4692.1556,1.422,0.7297,1.6589,1.2855,130002.2959,2.1205,1.9807,4.4017,1.0541,0.8824,0.3452,1,PrivilegeAbuse
