cpu_usage_percent,memory_usage_bytes,page_faults_sec,handle_count,thread_count,io_read_bytes_sec,io_write_bytes_sec,syscall_freq_create_process,syscall_freq_open_process,syscall_freq_allocate_vm,syscall_freq_write_vm,syscall_freq_protect_vm,syscall_freq_create_thread,syscall_freq_load_image,syscall_freq_registry_write,syscall_freq_network_connect,suspended_thread_ratio,token_elevation_status,code_injection_indicators_score,unpacked_code_entropy,parent_child_anomaly_score,Label,Attack_Type
5.3338,440704.4578,2.9207,2.312,3.9338,0.8283,1.8393,1.14,1.4831,7.4373,1.8757,2.8254,1.4899,0.9157,1.928,1.3345,1.4861,1.8111,2.395,5.1562,6.4021,0,Benign
17.6831,844980.7358,1.015,3.7755,1.8914,4.8131,2.898,2.1336,0.2596,0.6963,0.5634,2.8963,1.6484,1.9838,2.586,6.7895,2.0711,0.1835,0.199,5.0187,3.4765,0,Benign
0.0011,1946568.8853,1.4592,0.4172,5.0175,2.2127,2.3107,1.0147,1.3362,0.4638,0.8551,3.7222,1.1299,2.4369,2.6896,1.8029,4.2041,1.0923,0.6807,7.5781,0.3432,1,DefenseEvasion
9.4087,706340.0375,1.2059,3.1232,2.3287,2.341,1.3379,0.9062,3.6398,0.1384,3.4821,78.7271,0.2816,4.997,1.2167,23.9905,2.2179,2.6483,1.0736,4.938,3.7016,1,Rootkit_Behavior
0.294,1417295.4634,0.5267,0.5326,2.7198,4.5126,4.7253,1.8884,1.4781,0.4504,1.2801,2.3901,1.5773,6.2918,3.2977,1.2814,4.2131,2.9672,2.3643,4.4398,4.0564,0,Benign
0.2926,6418212.6562,1.0569,3.1571,0.7126,2.3583,1.8442,0.6959,0.9001,0.1002,0.7687,1.6476,1.4797,2.0347,0.9942,0.6236,1.214,1.6168,2.1221,6.2165,1.5844,0,Benign
1.6011,1000515.205,0.7594,2.2902,3.6386,1.1789,2.1884,0.5752,0.4146,0.3355,1.0818,5.3762,1.6189,1.6289,2.7031,0.2276,2.7538,3.4842,1.0337,5.1036,0.4871,0,Benign
0.0016,2853510.6629,1.1498,3.5871,0.8373,3.5918,1.2432,2.578,0.4497,2.1788,1.0264,60.0375,1.5947,1.156,4.1836,55.9707,1.3295,0.8772,0.9072,4.9377,1.4535,1,Rootkit_Behavior
0.2919,15742725.1959,13.1504,0.892,0.4276,0.9365,2.753,1.3878,0.3328,40.0242,2.7128,4.707,4.2486,2.1402,4.2912,0.6783,1.7437,1.427,2.237,4.6771,9.5686,1,ZeroDay_Process
10.1295,1292074.2805,2.6927,2.4458,5.0259,2.1881,0.6999,1.9054,1.7223,1.6996,2.3869,1.0963,3.8456,2.3897,6.3337,0.7272,2.9758,1.7867,1.8138,5.1675,0.8503,0,Benign
0.7781,6376136.0425,2.5276,2.3363,4.9608,0.4018,0.9489,0.9385,1.4473,0.533,1.3862,1.8711,0.1438,4.6588,0.5344,1.5229,1.3375,2.196,4.8154,6.322,0.9324,0,Benign
8.359,1206391.7744,0.9023,4.2892,1.6222,3.178,2.3848,1.7031,2.3334,1.307,0.9071,1.1248,0.7581,0.9222,1.06,3.3585,0.4052,6.108,1.7145,5.656,1.1019,0,Benign
7.6946,4816958.5646,0.3427,3.0345,1.5469,5.8591,3.4171,1.4651,2.3951,3.7596,2.5904,1.4636,3.0025,1.2861,1.271,0.9116,4.267,4.2198,2.317,5.2675,4.8193,0,Benign
0.0126,233877.1026,0.6806,2.5358,0.421,3.3666,2.2785,0.6325,2.1737,0.7767,0.712,3.7112,2.9307,0.5147,2.2242,0.5533,0.515,1.4513,1.3541,4.8819,3.9149,0,Benign
37.2571,2136642.6887,3.7327,2.7233,0.7315,3.5207,2.3411,2.1149,3.4644,8.8224,1.7841,0.7233,0.6228,1.0028,2.6345,3.1954,4.9757,1.4735,0.914,5.7311,1.7508,0,Benign
0.677,37520077.711,2.6091,0.2295,0.9783,0.9931,4.7238,1.06,1.0968,1.6226,1.0174,1.2396,0.3274,1.3462,1.1879,0.8815,1.073,2.2647,5.0067,4.8495,1.1437,0,Benign
15.1276,384183.2545,0.8762,1.0062,2.8441,1.3647,1.0481,0.5171,26.4354,2.2182,11.8025,3.4022,38.0379,0.5875,1.8062,0.2093,1.3183,1.9175,10.4991,5.5029,1.7018,1,ProcessInjection
0.0145,368837.7265,41.2838,0.8292,2.0609,1.4196,0.6216,2.5028,1.1017,46.5049,1.166,1.0677,1.4066,0.8406,0.9556,0.2639,1.5874,3.5594,1.0363,5.4951,7.9015,1,ZeroDay_Process
5.4298,12239651.9392,1.5549,3.9645,4.4359,1.8989,0.6825,0.8526,2.0459,2.249,1.6418,1.3819,1.6852,1.9729,1.5482,1.6767,2.5257,0.8857,3.856,5.6647,1.0091,0,Benign
0.0729,334814.4352,2.0503,2.1932,0.809,1.9559,1.6398,0.5772,1.9517,0.4805,0.7363,0.8114,0.4313,3.3875,2.2895,0.1632,6.8798,1.3038,2.2569,5.0149,2.3629,0,Benign
0.6974,356801.8415,2.1212,3.0355,1.5695,2.5177,1.6041,1.5645,0.9678,5.0931,0.6261,1.607,2.4579,0.4142,1.0169,1.1311,3.216,1.7521,4.5086,4.5608,1.1907,0,Benign
0.0913,20862349.1516,1.5161,2.4939,2.8735,5.6049,1.6101,1.0516,0.9726,2.3781,4.5461,3.253,4.2749,1.082,1.8381,0.9599,4.4386,0.4504,2.8789,5.8742,1.6928,0,Benign
0.0447,18383931.664,0.3961,0.6107,1.8704,9.6803,3.1482,2.0696,0.5864,1.2148,4.4168,1.7927,1.2185,2.491,1.8346,0.3023,1.8624,0.3864,2.7025,4.5312,6.4885,0,Benign
0.9703,9907447.0185,1.8588,1.0246,1.0633,1.247,1.2808,25.3883,1.365,3.2432,1.7647,1.728,5.9159,3.603,1.9306,2.3114,3.1272,2.7366,6.5572,5.2849,9.6623,1,Execution_Malware
0.1099,2544051.875,1.8598,1.1088,1.3082,1.9481,0.4317,1.4318,2.4381,1.4792,1.7509,1.2921,0.6603,1.7001,1.5122,2.9683,0.494,1.6807,0.2484,5.3933,3.5768,0,Benign
25.8436,1125354.0538,0.6648,1.2916,0.8823,2.7085,1.0221,2.1195,1.1316,4.5314,0.8562,2.7911,4.1346,1.4542,0.4637,1.382,0.5068,0.5242,2.1353,4.9636,1.8674,0,Benign
1.05,3128491.251,0.7993,1.9758,0.578,0.6424,0.8482,2.0624,3.5718,0.4946,0.6081,3.1257,0.4667,3.0002,2.4175,1.7435,3.3894,1.0209,0.6321,5.145,1.0065,0,Benign
7.0727,13997735.3714,5.4305,3.8189,3.4351,5.8485,0.4416,1.0633,2.5725,1.5852,0.6455,3.3936,2.1304,3.1904,1.1348,1.2081,1.4116,1.3849,2.4399,4.1678,3.0617,0,Benign
1.0771,201205529.6392,2.803,0.6954,0.8832,2.673,0.881,2.8879,1.8361,0.1723,2.7705,0.6615,3.156,0.7374,0.9678,4.3261,3.8787,1.2042,1.7714,4.9189,1.1724,0,Benign
2.7229,38762167.2816,2.1873,0.7339,0.2101,0.9983,0.8242,2.7343,3.4738,0.6265,0.4788,0.5104,1.1275,0.3699,0.3267,1.9555,0.5182,3.0869,0.7359,5.3635,5.199,0,Benign
3.8883,3938933.4728,1.4856,2.7242,0.7128,2.6887,2.782,1.5005,1.4364,1.2752,4.6181,0.2371,0.5549,0.8645,1.2499,0.7203,1.8434,1.288,3.1876,4.6237,4.3084,0,Benign
0.0929,9633201.4847,2.5757,1.2626,0.6373,2.276,1.5238,1.3742,2.4603,1.2184,1.2446,3.1513,0.5352,0.7377,1.4341,2.0028,1.1751,0.4729,7.6454,6.213,1.4676,0,Benign
1.4666,1352379.6283,1.7295,1.6773,1.2856,1.6737,3.0472,2.7241,1.989,0.8018,4.2432,1.5717,3.3868,0.9615,1.6129,1.7714,4.7208,2.4388,0.6287,5.5885,0.6074,0,Benign
7.8356,1176346.1524,2.2748,0.2153,4.2557,2.2204,0.9121,2.8041,0.5843,2.4116,2.762,0.8426,2.7341,4.6599,0.7226,2.1887,3.7609,2.0439,2.651,5.0186,0.865,0,Benign
0.0266,250528.9825,5.8581,1.3227,3.0483,0.363,1.9314,2.7431,0.94,0.9243,0.6977,1.8052,1.2991,0.7943,4.9353,0.7701,2.128,7.2334,1.7415,4.7342,5.7526,1,PrivilegeEscalation
0.0835,6804096.0096,2.017,1.1779,1.3202,2.0658,1.5618,1.5829,3.9276,1.5573,0.9802,2.2472,1.4154,1.6633,1.1209,0.3464,2.7836,2.4873,1.0315,5.0298,2.498,0,Benign
0.4455,690892.8597,2.0573,0.9622,3.2675,3.1598,1.7609,2.2407,1.4625,4.2383,1.0867,1.5182,3.5249,0.2139,1.2566,1.8676,3.5094,3.5321,1.1573,5.2845,0.7941,0,Benign
4.6804,9148453.8218,1.457,0.1635,1.3316,1.3334,3.8146,0.6868,0.255,2.4584,2.8164,0.6744,0.7334,1.0806,0.7242,1.3001,1.1548,2.8621,1.5288,3.9439,0.4549,0,Benign
15.0076,53192.2733,1.2724,6.279,0.1427,0.918,1.9265,1.5829,1.3102,0.8354,1.0118,3.8648,1.9979,2.6312,5.6906,0.985,0.641,2.1933,0.6002,4.4894,0.9656,0,Benign
0.255,13573862.4771,1.3266,2.0828,1.9541,54.7813,0.9436,0.5564,45.058,1.5299,4.097,0.3071,2.8591,5.117,0.8659,0.1228,1.7574,4.6583,3.7162,5.1479,0.6644,1,CredentialDumping
3.3752,2161763.2905,2.1474,0.6804,2.2639,3.2316,2.7499,2.4038,0.9535,2.1684,2.8604,1.27,2.3952,4.1095,3.2336,3.3765,2.7261,2.2604,0.4208,4.4468,3.3773,0,Benign
0.7836,2530865.9047,2.1892,1.5047,1.9936,9.703,2.7308,0.7163,0.4549,2.7478,5.6695,0.3319,1.5462,2.1747,2.6584,2.2588,0.584,2.0453,4.085,5.1116,1.6848,0,Benign
16.8639,110683573.2103,55.0902,0.6562,1.444,0.8054,2.0565,0.8688,3.6746,21.8062,1.4523,1.9848,1.6219,0.7877,3.0122,1.7013,3.316,1.6459,0.9853,5.6019,9.9158,1,ZeroDay_Process
0.5149,11033383.8414,1.7514,0.6962,3.344,3.8271,3.18,2.4256,1.0247,1.4654,2.2441,0.0397,1.6504,9.5197,1.5186,1.4027,1.0734,1.161,1.2686,4.9232,0.5812,0,Benign
0.0253,817477.7274,1.5761,2.1677,0.3925,0.8972,0.1455,2.3666,0.8211,2.6405,2.5932,2.0983,1.3033,2.7471,3.2277,0.6135,1.0492,1.0014,0.2528,5.4385,1.8854,0,Benign
3.8994,4729967.0929,1.7902,2.8568,1.1066,1.8659,2.9945,1.3294,7.629,5.9154,2.2166,1.6487,2.4681,0.7056,1.2665,1.0402,1.6286,4.2083,2.0316,5.1779,5.1208,1,CredentialDumping
0.3256,5935841.7321,2.1313,0.7844,0.5067,2.8839,0.9185,1.046,1.2199,0.5672,1.6511,0.5149,2.5379,1.2636,2.0362,2.3804,1.0868,2.7248,2.432,4.3672,1.9148,0,Benign
2.7732,29048.886,0.8702,1.3765,1.0198,2.233,1.1096,31.8433,1.7946,0.6081,3.1209,1.5137,1.7291,3.876,1.3146,2.3274,4.4317,1.8637,0.5756,5.1932,10.2795,1,Execution_Malware
3.8286,42321849.7657,0.9894,0.7526,0.2634,0.45,1.034,1.8859,4.6478,0.4273,1.1747,1.447,5.6665,1.3362,2.8594,2.5166,1.5247,2.7357,1.4876,4.6585,0.8827,0,Benign
0.0651,192936884.6573,0.911,1.125,1.7141,0.8943,1.8916,1.5501,0.6206,0.4296,0.4302,1.7568,3.2561,1.2368,2.8939,2.305,3.596,1.1521,1.2358,5.6001,1.5748,0,Benign
0.3787,989503.6349,1.2935,1.5758,3.3372,3.5295,0.3119,0.3393,0.7994,1.8489,1.2965,1.1534,3.6758,1.1604,3.3156,2.8206,0.2524,2.4447,3.1286,5.7637,2.0374,1,PrivilegeEscalation
0.0001,70752846.424,2.894,0.2391,3.8197,1.4027,1.3699,3.2913,1.3518,1.9426,1.2323,3.8998,1.0954,1.705,2.5567,0.7845,1.4952,2.7122,0.8883,4.8953,2.8184,0,Benign
0.6097,579522.1736,3.1023,1.3545,2.1931,1.3877,1.1532,2.2369,0.7487,4.893,1.0876,3.7951,2.034,1.506,0.8724,1.5167,0.514,2.2672,2.6252,4.9725,2.2763,0,Benign
0.536,15449179.2195,1.2549,1.1278,3.8751,0.7423,0.2763,3.9181,2.7624,0.434,1.5206,1.0771,1.2628,2.2534,2.8406,0.2263,1.5072,1.359,2.7605,5.0312,0.6981,0,Benign
3.5351,6200585.2732,0.8688,0.0666,2.2544,1.4218,0.5983,0.8053,1.9248,2.1284,3.5131,1.0406,0.4873,1.1647,1.0361,2.5432,1.1602,0.1718,1.7785,5.4291,0.3503,0,Benign
3.1737,491102.7224,1.7524,0.358,3.1709,1.9139,2.3708,1.3192,0.9243,1.7924,1.8737,1.003,2.5015,3.4582,6.6651,1.6568,3.7206,0.8388,3.9036,5.2839,3.2512,0,Benign
8.2236,8599820.0081,4.5506,3.9132,3.3674,1.7861,3.1455,3.2926,1.1829,1.7838,1.011,2.1892,0.3976,4.8759,1.2895,1.4598,0.8642,2.4983,3.3913,4.5465,2.6412,0,Benign
0.5495,1294723.9402,0.7377,0.5348,1.1472,3.5507,0.5075,1.4858,7.974,2.4373,9.6799,1.2766,28.8943,0.5583,6.5317,0.1537,0.4488,1.0167,8.5411,4.5061,1.5843,1,ProcessInjection
0.2011,228219.3584,0.466,0.9226,0.7077,4.0462,1.6953,4.0565,7.8827,2.2254,23.5874,1.1594,47.211,1.0276,1.7021,0.666,2.2761,1.8599,18.2282,4.5143,2.7884,1,ProcessInjection
15.1045,4114211.7192,9.5483,1.5107,5.1639,2.1989,2.3369,1.8661,0.2291,43.9046,1.3358,0.9766,0.679,0.8687,1.5023,3.3425,2.47,0.6135,1.7513,5.1356,8.3842,1,ZeroDay_Process
5.4372,119524.3856,3.0848,0.6842,4.6818,0.5796,2.5128,2.6944,1.7394,1.4715,2.9463,1.7473,1.163,0.6933,2.7863,0.3064,0.4295,4.0484,1.0088,6.5047,2.1613,0,Benign
3.2409,4471574.9173,0.6729,1.0309,2.0805,0.9869,5.4459,0.7727,1.7869,1.3687,1.9255,1.4108,1.1583,1.0236,16.5553,0.2511,1.5057,4.5382,1.6067,5.6998,0.7045,1,PrivilegeEscalation
0.005,267554.5483,1.7602,0.7985,0.9187,0.6661,0.0882,1.8509,0.6993,3.8816,4.1368,0.8345,1.6342,1.4982,1.0849,2.1854,2.8484,0.4361,1.102,4.1235,4.7688,0,Benign
0.0029,2186367.025,0.5863,1.197,1.1406,0.5698,0.8546,0.6001,1.5024,0.4272,2.4883,1.0598,1.1091,5.8101,2.9735,0.9442,0.4603,0.1515,1.5576,4.8331,3.9718,0,Benign
1.2063,512295.1763,1.7195,2.1945,2.477,3.2381,0.756,1.4728,1.1393,0.8471,3.2903,0.6867,1.8564,0.5524,1.4417,1.4968,1.9697,3.1192,1.3955,5.3249,1.9243,0,Benign
1.0804,15102956.4015,1.4287,0.7986,3.1525,1.5215,1.4392,0.0235,2.7854,1.5522,1.4031,1.3713,1.1154,2.45,1.1237,2.8523,2.0959,1.7619,3.8409,4.3264,2.0583,0,Benign
2.6215,1387194.7957,1.6019,0.457,0.7184,0.7877,2.5423,3.293,1.6775,0.8457,1.0807,2.6048,0.4366,3.7439,1.8002,1.0067,0.9167,1.2084,1.3458,5.3194,2.5982,0,Benign
0.1342,614970.4344,1.8034,3.1643,3.3039,3.8582,1.616,2.0852,2.0314,1.1721,3.6009,4.3909,1.2468,1.2709,5.7869,1.0996,3.7854,1.2617,1.0999,5.1072,3.6877,0,Benign
1.2631,6324916.182,1.1133,2.7635,2.5105,4.2717,2.7017,3.783,1.1708,1.1894,2.1954,1.985,3.4704,5.4908,0.5533,5.2489,1.5174,1.1107,1.3744,4.2357,0.535,0,Benign
14.8285,96831107.1359,0.5825,1.7671,2.1933,1.0556,1.6058,1.1587,4.1657,2.6651,2.2149,6.1565,3.4409,0.2463,0.7507,7.8522,3.5939,0.6543,0.8791,4.9617,1.5014,0,Benign
17.4846,162776418.6911,1.7828,0.2849,1.6083,0.9444,1.3102,1.7071,1.0707,0.4175,1.6357,1.309,3.0872,1.8083,3.6512,0.2451,3.0433,1.0592,2.5654,4.3739,1.8359,0,Benign
0.0012,1324268.0386,1.8458,3.8024,2.3228,2.666,2.3648,0.2471,5.3962,5.884,2.8695,3.0185,1.0082,1.7046,0.5509,1.4432,2.1744,4.0785,3.462,6.085,2.0468,0,Benign
0.7216,17232405.3626,1.5552,1.0312,0.9523,1.2413,3.3689,0.8473,0.8893,2.4651,3.2366,0.6668,1.107,2.973,2.0669,2.5799,1.2737,4.8736,2.7439,4.7169,1.1277,0,Benign
10.8294,241346817.3697,1.0583,4.2186,3.3839,4.8403,1.1334,38.8024,2.2689,1.3227,3.1132,5.0142,6.8316,8.6685,0.6163,0.2011,1.3282,0.4613,3.1534,5.5252,7.8914,1,Execution_Malware
0.5157,51330905.634,0.565,2.2479,1.4881,1.8354,3.3582,1.5,3.8404,2.593,1.4618,2.1005,0.9788,1.4801,3.6688,3.2298,2.3215,1.2872,1.4365,5.1676,1.4721,0,Benign
2.1642,19474528.3903,1.063,0.8965,0.9929,3.7281,4.0761,0.4936,1.1297,3.534,0.9713,1.5856,1.0607,3.7127,3.0971,3.2819,4.1242,2.6085,1.213,4.3639,0.4086,0,Benign
0.1782,1137288.7768,2.4638,2.0568,1.0801,1.1555,0.3151,2.8241,0.9248,1.4782,2.579,0.6264,2.2164,0.8744,2.2773,2.767,0.2686,1.3073,2.1725,5.3689,3.6377,0,Benign
0.0033,74690.8263,4.6372,1.4145,0.4165,1.2484,1.7038,0.8086,1.9323,3.064,3.3368,0.039,2.0746,2.0738,1.8741,1.0243,2.0269,0.9211,1.1588,5.2349,1.4619,0,Benign
1.061,11625809.1585,1.6492,1.3961,1.8526,2.3077,2.2422,0.4245,3.2602,6.5093,2.6887,4.4031,1.1456,1.7236,1.9197,2.1893,3.3287,0.365,0.5889,5.4303,1.7229,0,Benign
0.2401,2134443.3293,1.2331,3.5151,0.5534,2.2061,9.3047,2.272,1.5052,3.3755,1.3132,1.7633,1.1251,2.2684,3.2964,1.469,0.5059,1.3171,0.9,4.5917,1.6761,0,Benign
0.5165,1668217.2821,1.7571,1.9224,1.9233,0.8332,3.5794,0.5828,2.7928,0.6563,2.8526,1.2981,1.7662,2.0188,1.6981,0.2812,0.2076,2.4913,1.0729,4.5341,1.4178,0,Benign
0.198,3406269.7407,23.5118,1.6979,2.8048,1.3138,1.1059,1.1682,0.7498,36.1704,0.1109,7.9434,2.0706,3.4006,2.9687,1.5662,2.1705,0.3752,3.4352,4.7042,12.4095,1,ZeroDay_Process
5.9378,998194.8195,45.1801,0.5493,2.3716,2.5653,1.3538,1.9202,2.2318,33.9774,1.4739,5.8245,0.3597,3.325,1.1798,0.7537,0.609,2.9576,0.953,5.1353,12.49,1,ZeroDay_Process
0.0172,2442715.6319,0.5717,1.7703,5.347,0.6923,1.3484,0.3789,1.5831,0.9137,2.7306,2.9831,1.9895,2.2725,2.0516,0.9901,3.4154,2.3156,2.7364,5.3676,0.8439,0,Benign
7.5629,2476465.5028,1.1312,0.4005,0.3845,1.2544,0.1584,2.0611,4.6052,0.9734,3.9077,0.8841,1.2547,0.4896,0.5456,3.3388,0.9672,1.5336,5.9706,5.0166,1.0586,1,ProcessInjection
10.6252,5439783.5904,0.5111,2.4702,1.3815,2.3079,1.5662,2.4395,0.7499,0.71,2.0664,3.8161,2.1601,1.6069,2.1202,1.6665,2.2269,0.5557,1.6048,5.2042,0.5805,0,Benign
0.8683,76192406.7438,3.2107,2.0618,2.3908,2.6862,1.1297,1.1768,1.8194,0.6034,1.7309,2.9347,1.8637,2.5345,0.688,1.8274,4.7773,3.3089,0.7194,4.7934,1.5913,0,Benign
0.0585,1504146.8472,0.989,3.5727,1.0975,3.6549,5.1678,2.1158,1.2345,0.5591,2.8441,2.0637,3.2608,2.3465,1.3344,2.635,1.3916,0.2604,1.8838,5.2676,0.822,0,Benign
0.0188,16486674.3331,1.7239,1.0781,0.2449,1.0731,1.3269,0.2734,2.5472,0.671,1.9244,3.9836,1.4272,1.1758,1.5064,1.611,2.7851,1.3078,2.1232,4.0895,1.8165,0,Benign
0.0632,4963346.3923,2.002,0.2041,1.8071,0.3155,0.9624,2.101,0.5587,2.5338,1.0728,5.1286,3.6604,2.8895,1.8119,3.5276,2.1767,1.9418,1.4146,4.2905,0.4548,0,Benign
9.7109,942813.1461,1.5857,1.9372,3.8959,0.563,1.503,1.4338,1.8855,1.7674,4.1603,1.9693,1.6876,1.1667,1.5474,4.4457,3.8237,2.8291,2.5424,4.6848,1.825,0,Benign
1.2814,10143896.2505,2.8429,2.9,4.5292,0.4901,0.8465,1.7782,4.3553,0.5434,1.7859,0.5172,1.0912,2.506,0.533,0.3407,2.7535,2.6643,1.2507,4.8706,1.7474,0,Benign
3.9721,132497.2267,0.6541,3.3573,4.5881,4.2249,1.2662,1.2421,8.1434,0.9305,3.7226,2.3356,1.8251,1.1819,0.4523,2.5218,1.7869,2.2887,3.5448,5.4575,0.944,0,Benign
4.1623,166365.4115,0.7568,0.8838,2.7889,4.8949,0.5722,4.241,4.8884,0.7711,0.7208,2.828,1.4121,9.5777,3.107,1.6529,2.0244,4.2396,3.2187,4.7068,1.9063,0,Benign
