files_created_sec,files_deleted_sec,files_modified_sec,files_renamed_sec,bytes_written_sec,bytes_read_sec,write_entropy_mean,file_extension_change_rate,access_sensitive_dir_rate,mass_deletion_indicator,encryption_ratio,shadow_copy_access_rate,mft_anomaly_score,symlink_creation_rate,alternate_data_stream_writes,macro_execution_indicators,high_freq_read_write_ratio,temp_folder_exec_rate,system32_modification_rate,Label,Attack_Type
0.3409,1.3883,0.6257,2.9162,1.1183,2.3569,3.5918,0.2779,0.5147,1.5228,0.6094,0.4304,0.164,0.8136,2.0734,0.4501,0.7452,1.2273,0.353,0,Benign
0.5369,0.4391,1.0392,3.368,0.1669,0.6165,3.5931,0.5934,0.6065,1.5117,1.2568,1.8504,0.4935,1.2545,1.3482,0.7117,0.4626,1.6521,0.0455,0,Benign
0.6585,0.8278,0.3586,0.8188,3.1608,0.2237,2.1807,3.9524,1.5559,0.4875,0.5957,0.5812,0.3978,0.5581,2.5447,0.3224,0.1741,0.1843,0.5653,0,Benign
0.4772,0.6223,2.6881,0.232,0.0268,24.279,3.4527,0.6592,0.957,0.3384,1.6214,0.3226,3.3885,0.6906,1.695,1.0997,1.0475,0.5625,3.2534,1,DataExfiltration
2.7582,2.0187,2.2147,0.1205,0.4348,0.9928,3.1239,4.5707,0.501,1.0393,0.7795,2.0525,0.643,0.1989,0.8023,1.0358,0.7375,0.6321,0.7914,0,Benign
2.1389,0.1621,2.0212,0.2503,1.0888,0.1292,3.1979,0.0615,0.9409,0.2808,0.483,0.8557,0.914,0.6201,0.0546,0.3846,0.2359,1.4868,0.8434,0,Benign
2.7079,21.0032,1.4767,0.4049,0.7095,0.4152,4.5839,0.0456,2.0905,7.8276,0.6718,1.5699,6.8993,0.3326,0.8897,0.2739,0.5836,0.5262,0.0035,1,Wiper
1.0208,0.8095,0.3054,2.0634,0.2541,2.6265,4.179,0.9322,2.6074,0.0176,0.7902,0.193,0.751,1.1367,0.1909,1.6027,0.4199,1.8094,0.3561,0,Benign
0.7509,0.2747,0.0728,4.0472,1.4561,0.7732,4.1496,0.182,2.8324,0.5047,0.4056,1.0383,0.6779,1.0843,2.9499,4.3423,0.2885,7.9434,2.6666,1,FilelessStager
0.7042,0.0526,0.1363,0.7815,5.0819,1.6666,3.9542,1.0037,0.544,0.6001,0.4069,0.9431,1.4101,1.0359,0.078,0.0784,0.9997,0.7833,1.8854,0,Benign
0.6644,0.2428,1.0947,2.6595,1.9734,1.3253,4.0541,0.2384,0.7701,1.5709,4.1285,0.1863,0.1554,0.5104,0.275,3.2196,0.6056,1.3149,1.6108,0,Benign
1.1385,36.5237,1.5047,0.604,3.5815,0.296,3.8134,0.4259,2.1249,6.054,0.3065,1.8088,4.7894,0.1282,0.1711,1.3349,0.1642,0.021,0.8012,1,Wiper
0.056,1.2129,0.0366,2.3299,0.8245,0.7773,3.271,2.1564,6.0416,0.5582,1.2257,1.8119,1.7484,0.1075,1.8472,1.5973,0.4212,0.1924,2.8453,0,Benign
11.5756,1.6924,1.8008,1.2884,3.5413,0.9494,6.8161,0.2065,0.1888,0.2185,0.1144,0.376,0.8917,3.9012,0.7474,3.5528,0.4574,0.5586,0.8121,1,ZeroDay_FileDrop
0.5141,0.6978,1.0535,1.3405,0.7811,5.1397,4.6996,0.0503,0.6912,1.0262,2.0524,0.1184,0.5973,1.1746,3.1749,3.1712,0.2729,9.6056,0.6021,1,FilelessStager
0.5249,0.0554,0.1096,0.6564,2.0005,0.0449,3.9394,0.1568,0.0872,0.0486,0.234,0.9984,0.2632,2.3794,3.3236,5.6846,0.6931,6.2345,0.0002,1,FilelessStager
1.8951,0.2237,0.6691,0.0251,0.9085,3.6512,6.9929,0.9259,0.0652,0.8064,0.0573,1.6082,1.0452,2.4989,0.8278,0.6791,0.5961,0.2218,0.5253,1,ZeroDay_FileDrop
1.8939,0.7489,0.1806,0.0603,1.0338,1.6042,5.3941,0.0385,0.6409,0.6107,0.3809,0.4131,1.2029,1.1768,0.2571,1.2789,0.4192,0.153,0.5351,0,Benign
2.2287,0.7462,1.3579,0.6278,0.7441,1.6614,1.6099,2.253,0.0143,1.9432,0.7138,1.3183,1.4716,1.5349,0.4362,1.0291,0.9972,0.4204,0.9967,0,Benign
0.778,5.0817,0.3682,0.4234,1.2698,3.5516,4.5822,0.3881,2.7185,0.1072,2.378,1.018,0.1139,0.746,0.0481,0.3944,0.1607,1.6532,0.465,0,Benign
0.7537,0.0208,1.7528,1.4647,0.223,0.5493,3.1455,1.9633,0.3234,0.2089,1.3049,0.6832,0.2324,4.5711,0.1003,0.5803,0.8765,1.6669,0.9882,0,Benign
0.0193,0.4519,1.0079,0.2076,0.8101,0.6397,2.983,0.9453,0.8578,2.5077,1.2454,0.5716,2.8722,1.5401,0.0688,0.5375,0.5525,0.6842,0.4841,0,Benign
0.7527,0.9146,0.1694,0.5627,0.6869,0.9697,3.4076,0.038,1.0961,0.0337,1.4997,0.1135,0.1538,0.2211,1.0747,3.2924,0.2249,0.5395,0.9548,0,Benign
1.2617,0.0833,1.4346,0.2555,0.5757,0.3248,3.6168,1.0054,0.3403,1.2338,0.0221,0.6681,0.2505,0.4852,0.8254,0.8287,0.3498,0.1772,0.6085,0,Benign
0.7669,2.3637,0.5559,0.7725,0.5783,0.1301,1.8526,1.4518,1.9737,0.2764,3.0063,0.1763,0.0939,0.2828,0.0851,0.1148,0.9264,4.0573,0.0146,0,Benign
0.7727,0.2059,0.1679,0.0221,0.3193,2.7023,2.8897,6.3082,0.201,0.7916,0.0991,1.2821,2.2482,0.7102,1.48,0.7051,0.5624,0.1014,0.1011,0,Benign
0.2913,1.0286,0.5174,0.506,0.3216,0.1827,3.3209,1.4882,0.8138,1.0625,1.0588,0.8519,0.2709,0.4216,0.4283,0.7188,0.2809,0.9509,0.3017,0,Benign
1.0121,1.9153,1.4237,0.6106,0.2143,0.4957,3.8495,0.3965,0.8757,0.3341,0.321,1.9528,0.9141,2.6534,0.0874,2.819,0.9304,1.5179,1.8725,0,Benign
0.7494,2.9773,0.2409,0.1989,1.3488,1.1705,3.3978,0.9294,1.47,0.8972,0.2183,0.5191,0.378,1.2787,0.7831,0.1541,0.374,1.3516,2.8197,0,Benign
2.8106,1.6298,1.0218,1.037,0.8162,2.0775,2.9086,1.235,0.4589,2.6719,2.0314,1.2419,0.032,1.5848,2.2017,0.4538,0.9232,2.3559,1.9317,0,Benign
0.2669,2.0769,0.8419,0.8829,1.2169,1.0116,3.0829,3.1593,0.4472,0.3538,0.4093,1.5916,0.6436,1.0756,2.2363,0.8881,0.2829,1.2943,2.1521,0,Benign
0.5544,1.0484,1.3104,1.377,1.9708,0.3931,2.9821,0.2917,0.3221,0.1601,2.1453,0.9219,0.0698,3.0611,0.2289,0.5856,0.1461,0.5677,0.0307,0,Benign
2.6734,0.8896,13.7421,0.2811,0.3056,0.2555,7.9942,3.9616,2.1971,1.7082,2.111,2.8996,2.7694,2.632,0.299,0.6647,0.4898,0.1043,0.5022,1,Ransomware
0.8028,0.0535,1.1687,0.8271,2.0425,1.9715,3.7237,0.5607,3.3184,3.3799,2.8123,0.1706,0.4259,0.0954,0.3795,1.1718,0.332,1.5698,1.9801,0,Benign
0.9024,0.0099,0.2584,0.167,0.7881,1.3722,4.633,0.7327,1.6092,0.033,3.2021,0.152,0.1817,0.3494,0.7644,0.2053,0.3169,4.032,0.0532,0,Benign
0.8008,1.0627,1.7659,2.5287,0.103,0.2442,3.554,0.9945,1.2453,3.258,4.4997,0.6493,0.081,0.9714,0.7912,1.38,0.2399,0.6108,0.2905,0,Benign
0.2581,1.1321,0.0478,0.3248,1.0908,0.5808,3.587,0.8706,0.0581,0.7839,0.4948,1.7878,0.4746,1.961,0.7708,0.0857,0.1768,1.6885,0.2252,0,Benign
0.2112,0.4744,1.4329,0.1951,3.1157,0.7894,4.1075,0.9593,0.631,1.5583,0.2516,2.0845,1.0369,0.0157,0.1549,0.8078,0.5382,0.5369,0.545,0,Benign
0.5918,16.9054,2.1009,1.9873,0.6385,0.1208,4.111,2.1747,0.6164,6.8332,0.1033,0.4288,6.3458,0.8811,0.2424,0.0701,0.5335,0.5068,0.0181,1,Wiper
2.1324,0.5101,2.1792,0.2108,0.2623,1.8227,3.668,0.0244,1.1055,1.0145,0.0749,0.119,5.2759,0.0544,1.0488,0.8732,0.6116,1.3756,0.5377,0,Benign
2.3716,0.1906,1.0746,0.278,0.1797,2.5616,2.2996,0.7072,0.0889,0.5293,0.309,1.1516,1.1513,0.621,0.9708,0.9984,0.6731,0.9388,1.213,0,Benign
1.0921,1.4997,0.2736,0.8693,0.0529,0.1917,2.2689,2.2808,0.4209,0.0523,0.3648,1.094,2.8076,1.3567,0.8199,1.824,0.9298,4.3096,0.2846,0,Benign
0.9727,0.8129,1.0292,1.0672,3.5023,1.388,4.3594,0.2655,0.3699,1.056,0.4223,1.5809,0.6293,3.1794,1.425,0.9743,0.4912,0.3111,1.6908,0,Benign
0.3925,0.218,1.0077,0.9403,0.2566,0.2843,3.6159,0.555,0.7499,1.0386,0.1802,0.0155,0.2369,0.4741,4.104,4.0177,0.8998,5.501,4.413,1,Malicious_Macro
0.5523,0.6519,1.8786,1.1994,0.0214,0.5523,3.6369,0.1337,0.4069,0.7512,2.4145,0.9126,1.2359,0.5002,0.8591,0.0385,0.6151,0.1625,0.0526,0,Benign
0.6796,2.2868,1.9279,0.1469,0.1334,1.0671,2.4289,0.0454,1.9353,1.0889,0.1055,0.0821,0.1974,0.81,0.2705,0.541,0.8454,0.1886,0.6407,0,Benign
0.0823,1.001,2.5716,3.0231,0.4674,0.7613,3.0831,2.251,0.4533,0.5161,1.6203,1.4037,0.0525,0.9316,0.5988,0.482,0.2483,0.094,2.0052,0,Benign
0.3098,0.0566,0.2477,0.9345,0.4223,2.1348,3.8535,1.503,3.2596,0.0771,1.3704,1.8341,0.355,0.1313,0.1461,0.229,0.1328,0.4593,0.5444,0,Benign
0.3128,0.2864,0.882,0.6995,1.2595,0.4849,2.1944,0.499,0.1095,0.111,0.989,1.8644,0.17,2.311,1.2593,0.6722,0.1479,0.4468,0.0285,0,Benign
0.2372,0.6879,0.4355,4.7051,0.613,0.093,4.0302,0.2625,1.2954,0.6161,0.4981,0.5086,0.0936,5.6927,0.0421,0.7551,0.7549,0.6449,0.2788,0,Benign
